"","last name","first name","two letter state abbreviation","Number of commemorative bills receiving action beyond committee","Number of commemorative bills receiving action in committee","Number of commemorative bills sponsored by this senator","Number of commemorative bills becoming law","Number of commemorative bills passing Senate","Number of substantive bills receiving action beyond committee","Number of substantive bills receiving action in committee","Number of substantive bills sponsored by this senator","Number of substantive bills becoming law","Number of substantive bills passing Senate","Number of SS bills receiving action beyond committee","Number of SS bills receiving action in committee","Number of substantive and significant (SS) bills sponsored by this senator","Number of SS bills becoming law","Number of SS bills passing Senate","congress","Observation number order based on scraping congress.gov","ID","yearcongStart","dem","majority","yearStart","female","Black","latinx","percent_vote","1st-dimension DW-NOMINATE score","chair","subchair","currterms","stateLeg","state_leg X squire index","majLeader","minLeader","votepct squared","totalSponsored","Total number of bills receiving action in committee","Total number of bills receiving action beyond committee","totalSenate","totalLaw","legeffictive","lagged legislative effectiveness score","distrance from legislative median in DW-NOMINATE","powrcmte","freshman","seniority squared","distance from majority party median dwnom1","number of members in state congressional delegation","Benchmark score based on majority, seniority, chairs","1 = Below, 2 = Meets, 3 = Exceeds"
"34","Fannin","Paul","AZ",0,0,4,0,0,1,0,32,1,1,1,0,2,0,0,93,34,10804,1972,0,0,1964,0,0,0,56,0.644999980926514,0,0,5,0,0,0,0,3136,38,0,2,1,1,0.425191193819046,NA,0.77099996805191,1,0,25,0.958508789539337,4,0.504810869693756,2
"35","Fong","Hiram","HI",1,0,26,0,1,5,0,41,3,3,1,0,1,0,0,93,35,3255,1972,0,0,1959,0,0,0,52,0.193000003695488,0,0,8,1,0.24600000679493,0,0,2704,68,0,7,4,3,0.843485295772552,NA,0.319000005722046,1,0,64,0.506508827209473,2,0.635835349559784,2
"36","Fulbright","James","AR",0,0,0,0,0,9,0,31,3,8,7,0,8,5,6,93,36,3388,1972,1,1,1944,0,0,0,59,-0.708000004291534,0,1,15,0,0,0,0,3481,39,0,16,14,8,2.62453579902649,NA,0.582000017166138,1,0,225,0.394491195678711,4,1.46704292297363,3
"37","Goldwater","Barry","AZ",0,0,6,0,0,0,0,13,0,0,1,0,2,1,1,93,37,3658,1972,0,0,1968,0,0,0,57,0.565999984741211,0,0,3,0,0,0,0,3249,21,0,1,1,1,0.38618865609169,NA,0.691999971866608,1,0,9,0.879508793354034,4,0.417461276054382,2
"38","Gravel","Mike","AK",0,0,17,0,0,2,0,48,0,1,1,0,1,0,0,93,38,12105,1972,1,1,1968,0,0,0,45,-0.287999987602234,0,1,3,1,0.319999992847443,0,0,2025,66,0,3,1,0,0.487627357244492,NA,0.161999985575676,1,0,9,0.0255088116973639,1,0.942945182323456,2
"39","Griffin","Robert","MI",4,0,7,0,4,0,0,12,0,0,0,0,0,0,0,93,39,3824,1972,0,0,1966,0,0,0,52,0.328000009059906,0,0,4,0,0,0,1,2704,19,0,4,4,0,0.135814547538757,NA,0.453999996185303,1,0,16,0.641508817672729,19,0.461136072874069,1
"40","Gurney","Edward","FL",2,0,8,0,2,0,0,43,0,0,0,0,0,0,0,93,40,10593,1972,0,0,1968,0,0,0,56,0.314999997615814,0,0,3,0,0,0,0,3136,51,0,2,2,0,0.302161425352097,NA,0.440999984741211,0,0,9,0.628508806228638,15,0.417461276054382,2
"41","Hansen","Clifford","WY",1,0,7,0,1,1,0,24,1,1,0,0,0,0,0,93,41,11202,1972,0,0,1966,0,0,0,71,0.479000002145767,0,0,4,0,0,0,0,5041,31,0,2,2,1,0.307089954614639,NA,0.605000019073486,1,0,16,0.792508780956268,1,0.461136072874069,2
"42","Hart","Philip","MI",0,0,12,0,0,1,0,29,0,1,2,0,4,1,2,93,42,4148,1972,1,1,1958,0,0,0,67,-0.460999995470047,0,1,8,0,0,0,0,4489,45,0,3,3,1,0.715939581394196,NA,0.33500000834465,0,0,64,0.147491201758385,19,1.16131925582886,2
"43","Hartke","Vance","IN",0,0,6,0,0,9,0,87,3,6,9,0,13,4,6,93,43,4154,1972,1,1,1958,0,0,0,50,-0.437000006437302,1,1,8,0,0,0,0,2500,106,0,18,12,7,2.9488537311554,NA,0.311000019311905,1,0,64,0.123491205275059,11,2.26155209541321,2
"44","Haskell","Floyd","CO",2,0,5,0,2,3,0,9,1,3,1,0,1,0,1,93,44,14104,1972,1,1,1972,0,0,0,49,-0.421000003814697,0,0,1,1,0.284000009298325,0,0,2401,15,0,6,6,1,0.502470314502716,NA,0.295000016689301,0,1,1,0.107491202652454,5,0.420970678329468,2
"45","Hatfield","Mark","OR",3,0,13,1,3,0,0,48,0,0,1,0,2,0,1,93,45,11203,1972,0,0,1966,0,0,0,54,0.0590000003576279,0,0,4,1,0.232999995350838,0,0,2916,63,0,4,4,1,0.523817598819733,NA,0.185000002384186,1,0,16,0.37250879406929,4,0.461136072874069,2
"46","Hathaway","William","ME",0,0,0,0,0,2,0,37,0,2,0,0,0,0,0,93,46,10736,1972,1,1,1972,0,0,0,53,-0.46000000834465,0,1,1,0,0,0,0,2809,37,0,2,2,0,0.361169338226318,NA,0.334000021219254,0,1,1,0.146491214632988,2,0.855595529079437,1
